sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
Tank-12B	Tank-12B	Water metagenome from a Halophila stipulacea mesocosm. Treatment TCN, time point 3.0, biological replicate 1 original ID Tank-12B	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-12B_S109_L001_R1_001.fastq.gz	Tank-12B_S109_L001_R2_001.fastq.gz
Tank-2D	Tank-2D	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 8.0, biological replicate 2 original ID Tank-2D	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-2D_S121_L001_R1_001.fastq.gz	Tank-2D_S121_L001_R2_001.fastq.gz
Tank-16C	Tank-16C	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 5.0, biological replicate 1 original ID Tank-16C	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-16C_S119_L001_R1_001.fastq.gz	Tank-16C_S119_L001_R2_001.fastq.gz
Tank-7B	Tank-7B	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 3.0, biological replicate 1 original ID Tank-7B	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-7B_S107_L001_R1_001.fastq.gz	Tank-7B_S107_L001_R2_001.fastq.gz
Tank-16A	Tank-16A	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 0.0, biological replicate 1 original ID Tank-16A	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-16A_S103_L001_R1_001.fastq.gz	Tank-16A_S103_L001_R2_001.fastq.gz
Tank-2C	Tank-2C	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 5.0, biological replicate 1 original ID Tank-2C	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-2C_S113_L001_R1_001.fastq.gz	Tank-2C_S113_L001_R2_001.fastq.gz
Tank-17D	Tank-17D	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 8.0, biological replicate 2 original ID Tank-17D	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-17D_S128_L001_R1_001.fastq.gz	Tank-17D_S128_L001_R2_001.fastq.gz
Tank-3C	Tank-3C	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 5.0, biological replicate 2 original ID Tank-3C	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-3C_S114_L001_R1_001.fastq.gz	Tank-3C_S114_L001_R2_001.fastq.gz
Tank-13A	Tank-13A	Water metagenome from a Halophila stipulacea mesocosm. Treatment TCN, time point 0.0, biological replicate 1 original ID Tank-13A	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-13A_S102_L001_R1_001.fastq.gz	Tank-13A_S102_L001_R2_001.fastq.gz
Tank-3A	Tank-3A	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 0.0, biological replicate 2 original ID Tank-3A	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-3A_S98_L001_R1_001.fastq.gz	Tank-3A_S98_L001_R2_001.fastq.gz
Tank-8D	Tank-8D	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 8.0, biological replicate 1 original ID Tank-8D	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-8D_S124_L001_R1_001.fastq.gz	Tank-8D_S124_L001_R2_001.fastq.gz
